InputPower,OutputPowerWithoutDelay,FiberLength,PreviousOutputPowerWithoutDelay
9.99E-07,3.57E-07,10,3.87E-07
9.99E-07,3.28E-07,10,3.57E-07
9.99E-07,3.16E-07,10,3.28E-07
9.99E-07,3.04E-07,10,3.16E-07
9.99E-07,2.93E-07,10,3.04E-07
9.99E-07,2.79E-07,10,2.93E-07
9.99E-07,2.75E-07,10,2.79E-07
9.99E-07,2.85E-07,10,2.75E-07
9.99E-07,2.98E-07,10,2.85E-07
9.99E-07,3.19E-07,10,2.98E-07
9.99E-07,3.48E-07,10,3.19E-07
9.99E-07,3.78E-07,10,3.48E-07
9.99E-07,4.30E-07,10,3.78E-07
9.99E-07,4.86E-07,10,4.30E-07
9.99E-07,5.50E-07,10,4.86E-07
9.99E-07,5.97E-07,10,5.50E-07
9.99E-07,6.68E-07,10,5.97E-07
9.99E-07,7.20E-07,10,6.68E-07
9.99E-07,7.82E-07,10,7.20E-07
9.99E-07,8.16E-07,10,7.82E-07
9.99E-07,8.58E-07,10,8.16E-07
9.99E-07,8.65E-07,10,8.58E-07
9.99E-07,8.56E-07,10,8.65E-07
9.99E-07,8.41E-07,10,8.56E-07
9.99E-07,8.32E-07,10,8.41E-07
9.99E-07,7.87E-07,10,8.32E-07
9.99E-07,7.33E-07,10,7.87E-07
9.99E-07,6.63E-07,10,7.33E-07
9.99E-07,6.01E-07,10,6.63E-07
9.99E-07,5.32E-07,10,6.01E-07
9.99E-07,4.85E-07,10,5.32E-07
9.99E-07,4.74E-07,10,4.85E-07
9.99E-07,4.93E-07,10,4.74E-07
9.99E-07,5.25E-07,10,4.93E-07
9.99E-07,5.64E-07,10,5.25E-07
9.99E-07,6.11E-07,10,5.64E-07
9.99E-07,6.76E-07,10,6.11E-07
9.99E-07,7.17E-07,10,6.76E-07
9.99E-07,7.43E-07,10,7.17E-07
9.99E-07,7.47E-07,10,7.43E-07
9.99E-07,7.26E-07,10,7.47E-07
9.99E-07,6.93E-07,10,7.26E-07
9.99E-07,6.23E-07,10,6.93E-07
9.99E-07,5.71E-07,10,6.23E-07
9.99E-07,5.29E-07,10,5.71E-07
9.99E-07,5.07E-07,10,5.29E-07
9.99E-07,5.36E-07,10,5.07E-07
9.99E-07,5.85E-07,10,5.36E-07
9.99E-07,6.37E-07,10,5.85E-07
9.99E-07,6.76E-07,10,6.37E-07
9.99E-07,7.26E-07,10,6.76E-07
9.99E-07,7.29E-07,10,7.26E-07
9.99E-07,7.04E-07,10,7.29E-07
9.99E-07,6.54E-07,10,7.04E-07
9.99E-07,5.96E-07,10,6.54E-07
9.99E-07,5.61E-07,10,5.96E-07
9.99E-07,5.56E-07,10,5.61E-07
9.99E-07,5.74E-07,10,5.56E-07
9.99E-07,6.42E-07,10,5.74E-07
9.99E-07,6.96E-07,10,6.42E-07
9.99E-07,7.17E-07,10,6.96E-07
9.99E-07,6.94E-07,10,7.17E-07
9.99E-07,6.49E-07,10,6.94E-07
9.99E-07,5.90E-07,10,6.49E-07
9.99E-07,5.60E-07,10,5.90E-07
9.99E-07,5.62E-07,10,5.60E-07
9.99E-07,5.95E-07,10,5.62E-07
9.99E-07,6.63E-07,10,5.95E-07
9.99E-07,6.95E-07,10,6.63E-07
9.99E-07,7.04E-07,10,6.95E-07
9.99E-07,6.40E-07,10,7.04E-07
9.99E-07,5.80E-07,10,6.40E-07
9.99E-07,5.40E-07,10,5.80E-07
9.99E-07,5.48E-07,10,5.40E-07
9.99E-07,5.99E-07,10,5.48E-07
9.99E-07,6.67E-07,10,5.99E-07
9.99E-07,6.82E-07,10,6.67E-07
9.99E-07,6.48E-07,10,6.82E-07
9.99E-07,5.91E-07,10,6.48E-07
9.99E-07,5.52E-07,10,5.91E-07
9.99E-07,5.62E-07,10,5.52E-07
9.99E-07,6.01E-07,10,5.62E-07
9.99E-07,6.58E-07,10,6.01E-07
9.99E-07,6.77E-07,10,6.58E-07
9.99E-07,6.56E-07,10,6.77E-07
9.99E-07,5.95E-07,10,6.56E-07
9.99E-07,5.50E-07,10,5.95E-07
