Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,
0,9.99E-07,3.94E-07,31.046875,1.97E-07,
0.015625,9.99E-07,3.75E-07,39.640625,1.91E-07,
0.03125,9.99E-07,4.05E-07,8.59E+00,1.85E-07,
0.046875,9.99E-07,3.79E-07,,1.86E-07,
0.0625,9.99E-07,3.98E-07,,1.86E-07,
0.078125,9.99E-07,3.75E-07,,1.78E-07,
0.09375,9.99E-07,3.99E-07,,1.73E-07,
0.109375,9.99E-07,3.76E-07,,1.80E-07,
0.125,9.99E-07,4.07E-07,,1.87E-07,
0.140625,9.99E-07,3.81E-07,,2.04E-07,
0.15625,9.99E-07,4.00E-07,,2.15E-07,
0.171875,9.99E-07,3.89E-07,,2.30E-07,
0.1875,9.99E-07,4.11E-07,,2.46E-07,
0.203125,9.99E-07,4.04E-07,,2.62E-07,
0.21875,9.99E-07,4.18E-07,,2.85E-07,
0.234375,9.99E-07,3.99E-07,,3.12E-07,
0.25,9.99E-07,4.07E-07,,3.32E-07,
0.265625,9.99E-07,4.07E-07,,3.51E-07,
0.28125,9.99E-07,4.06E-07,,3.74E-07,
0.296875,9.99E-07,4.19E-07,,4.02E-07,
0.3125,9.99E-07,4.05E-07,,4.20E-07,
0.328125,9.99E-07,4.17E-07,,4.38E-07,
0.34375,9.99E-07,3.99E-07,,4.65E-07,
0.359375,9.99E-07,4.16E-07,,4.77E-07,
0.375,9.99E-07,3.94E-07,,5.01E-07,
0.390625,9.99E-07,4.15E-07,,5.18E-07,
0.40625,9.99E-07,3.88E-07,,5.31E-07,
0.421875,9.99E-07,4.13E-07,,5.46E-07,
0.4375,9.99E-07,3.89E-07,,5.46E-07,
0.453125,9.99E-07,4.15E-07,,5.44E-07,
0.46875,9.99E-07,3.86E-07,,5.32E-07,
0.484375,9.99E-07,4.04E-07,,5.17E-07,
0.5,9.99E-07,3.95E-07,,4.92E-07,
0.515625,9.99E-07,4.04E-07,,4.71E-07,
0.53125,9.99E-07,4.02E-07,,4.42E-07,
0.546875,9.99E-07,3.91E-07,,4.12E-07,
0.5625,9.99E-07,3.96E-07,,3.85E-07,
0.578125,9.99E-07,3.77E-07,,3.56E-07,
0.59375,9.99E-07,3.87E-07,,3.32E-07,
0.609375,9.99E-07,3.71E-07,,3.18E-07,
0.625,9.99E-07,3.93E-07,,3.11E-07,
0.640625,9.99E-07,3.62E-07,,3.03E-07,
0.65625,9.99E-07,3.81E-07,,2.99E-07,
