Bits,InputPower,OutputPower,OutputPowerWithoutDelay,FiberLength,PreviousOutputPowerWithoutDelay
0,9.99E-07,2.08E-07,1.05E-07,3.50E+01,1.09E-07
0.015625,9.99E-07,1.97E-07,1.03E-07,3.50E+01,1.05E-07
0.03125,9.99E-07,2.07E-07,1.03E-07,3.50E+01,1.03E-07
0.046875,9.99E-07,1.90E-07,1.02E-07,3.50E+01,1.03E-07
0.0625,9.99E-07,1.97E-07,9.89E-08,3.50E+01,1.02E-07
0.078125,9.99E-07,1.84E-07,9.69E-08,3.50E+01,9.89E-08
0.09375,9.99E-07,1.94E-07,9.48E-08,3.50E+01,9.69E-08
0.109375,9.99E-07,1.85E-07,9.47E-08,3.50E+01,9.48E-08
0.125,9.99E-07,1.97E-07,9.57E-08,3.50E+01,9.47E-08
0.140625,9.99E-07,1.90E-07,9.73E-08,3.50E+01,9.57E-08
0.15625,9.99E-07,2.03E-07,9.28E-08,3.50E+01,9.73E-08
0.171875,9.99E-07,1.97E-07,9.40E-08,3.50E+01,9.28E-08
0.1875,9.99E-07,2.10E-07,9.41E-08,3.50E+01,9.40E-08
0.203125,9.99E-07,2.01E-07,9.58E-08,3.50E+01,9.41E-08
0.21875,9.99E-07,2.05E-07,9.79E-08,3.50E+01,9.58E-08
0.234375,9.99E-07,1.99E-07,1.01E-07,3.50E+01,9.79E-08
0.25,9.99E-07,2.00E-07,1.10E-07,3.50E+01,1.01E-07
0.265625,9.99E-07,1.94E-07,1.08E-07,3.50E+01,1.10E-07
0.28125,9.99E-07,1.95E-07,1.16E-07,3.50E+01,1.08E-07
0.296875,9.99E-07,1.96E-07,1.24E-07,3.50E+01,1.16E-07
0.3125,9.99E-07,1.97E-07,1.31E-07,3.50E+01,1.24E-07
0.328125,9.99E-07,1.94E-07,1.38E-07,3.50E+01,1.31E-07
0.34375,9.99E-07,1.93E-07,1.49E-07,3.50E+01,1.38E-07
