Bits,InputPower,OutputPower
0,9.99E-07,5.86E-08
0.015625,9.99E-07,1.50E-07
0.03125,9.99E-07,1.93E-07
0.046875,9.99E-07,7.16E-08
0.0625,9.99E-07,6.10E-08
0.078125,9.99E-07,1.28E-07
0.09375,9.99E-07,1.10E-07
0.109375,9.99E-07,9.05E-08
0.125,9.99E-07,1.25E-07
0.140625,9.99E-07,8.94E-08
0.15625,9.99E-07,7.05E-08
0.171875,9.99E-07,1.05E-07
0.1875,9.99E-07,1.44E-07
0.203125,9.99E-07,1.16E-07
0.21875,9.99E-07,7.10E-08
0.234375,9.99E-07,6.46E-08
0.25,9.99E-07,1.19E-07
0.265625,9.99E-07,1.81E-07
0.28125,9.99E-07,1.18E-07
0.296875,9.99E-07,3.91E-08
0.3125,9.99E-07,1.06E-07
0.328125,9.99E-07,2.04E-07
0.34375,9.99E-07,1.23E-07
0.359375,9.99E-07,5.67E-08
0.375,9.99E-07,9.82E-08
0.390625,9.99E-07,1.22E-07
0.40625,9.99E-07,1.11E-07
0.421875,9.99E-07,1.07E-07
0.4375,9.99E-07,1.04E-07
0.453125,9.99E-07,6.59E-08
0.46875,9.99E-07,1.09E-07
0.484375,9.99E-07,1.23E-07
0.5,9.99E-07,1.21E-07
0.515625,9.99E-07,6.81E-08
0.53125,9.99E-07,8.49E-08
0.546875,9.99E-07,9.63E-08
0.5625,9.99E-07,1.39E-07
0.578125,9.99E-07,1.24E-07
0.59375,9.99E-07,5.35E-08
0.609375,9.99E-07,9.10E-08
0.625,9.99E-07,1.33E-07
0.640625,9.99E-07,1.39E-07
0.65625,9.99E-07,7.62E-08
0.671875,9.99E-07,7.66E-08
0.6875,9.99E-07,8.92E-08
0.703125,9.99E-07,1.62E-07
0.71875,9.99E-07,1.08E-07
0.734375,9.99E-07,5.51E-08
0.75,9.99E-07,1.09E-07
0.765625,9.99E-07,1.14E-07
0.78125,9.99E-07,8.81E-08
0.796875,9.99E-07,1.03E-07
0.8125,9.99E-07,9.66E-08
0.828125,9.99E-07,6.29E-08
0.84375,9.99E-07,1.08E-07
0.859375,9.99E-07,1.34E-07
0.875,9.99E-07,9.24E-08
0.890625,9.99E-07,5.84E-08
0.90625,9.99E-07,9.45E-08
0.921875,9.99E-07,1.30E-07
0.9375,9.99E-07,1.45E-07
0.953125,9.99E-07,4.47E-08
0.96875,9.99E-07,8.20E-08
0.984375,9.99E-07,1.52E-07
1,9.99E-07,1.61E-07
1.015625,9.99E-07,4.75E-08
1.03125,9.99E-07,9.31E-08
1.046875,9.99E-07,1.45E-07
1.0625,9.99E-07,1.18E-07
1.078125,9.99E-07,7.50E-08
1.09375,9.99E-07,9.06E-08
1.109375,9.99E-07,1.24E-07
1.125,9.99E-07,8.58E-08
1.140625,9.99E-07,1.28E-07
1.15625,9.99E-07,1.06E-07
1.171875,9.99E-07,8.00E-08
1.1875,9.99E-07,1.02E-07
1.203125,9.99E-07,1.36E-07
1.21875,9.99E-07,1.19E-07
1.234375,9.99E-07,7.20E-08
1.25,9.99E-07,9.22E-08
1.265625,9.99E-07,1.40E-07
1.28125,9.99E-07,1.34E-07
1.296875,9.99E-07,6.59E-08
1.3125,9.99E-07,1.01E-07
1.328125,9.99E-07,1.14E-07
1.34375,9.99E-07,1.24E-07
1.359375,9.99E-07,1.13E-07
1.375,9.99E-07,5.47E-08
1.390625,9.99E-07,1.25E-07
1.40625,9.99E-07,1.52E-07
1.421875,9.99E-07,8.60E-08
1.4375,9.99E-07,7.12E-08
1.453125,9.99E-07,1.38E-07
1.46875,9.99E-07,9.59E-08
1.484375,9.99E-07,9.90E-08
1.5,9.99E-07,1.09E-07
1.515625,9.99E-07,8.98E-08
1.53125,9.99E-07,8.44E-08
1.546875,9.99E-07,1.34E-07
1.5625,9.99E-07,1.20E-07
1.578125,9.99E-07,6.01E-08
1.59375,9.99E-07,9.41E-08
1.609375,9.99E-07,1.49E-07
1.625,9.99E-07,1.20E-07
1.640625,9.99E-07,4.52E-08
1.65625,9.99E-07,1.16E-07
1.671875,9.99E-07,1.66E-07
1.6875,9.99E-07,8.92E-08
1.703125,9.99E-07,6.78E-08
1.71875,9.99E-07,1.15E-07
1.734375,9.99E-07,1.29E-07
1.75,9.99E-07,9.52E-08
1.765625,9.99E-07,8.53E-08
1.78125,9.99E-07,9.01E-08
1.796875,9.99E-07,1.27E-07
1.8125,9.99E-07,1.03E-07
1.828125,9.99E-07,9.42E-08
1.84375,9.99E-07,7.59E-08
1.859375,9.99E-07,1.31E-07
1.875,9.99E-07,1.12E-07
1.890625,9.99E-07,8.21E-08
1.90625,9.99E-07,9.37E-08
1.921875,9.99E-07,9.19E-08
1.9375,9.99E-07,1.33E-07
1.953125,9.99E-07,1.03E-07
1.96875,9.99E-07,6.44E-08
1.984375,9.99E-07,1.31E-07
2,9.99E-07,1.38E-07
2.015625,9.99E-07,7.76E-08
2.03125,9.99E-07,9.67E-08
2.046875,9.99E-07,1.08E-07
2.0625,9.99E-07,1.34E-07
2.078125,9.99E-07,9.03E-08
2.09375,9.99E-07,8.34E-08
2.109375,9.99E-07,1.45E-07
2.125,9.99E-07,9.63E-08
2.140625,9.99E-07,1.01E-07
2.15625,9.99E-07,9.96E-08
2.171875,9.99E-07,9.65E-08
2.1875,9.99E-07,1.16E-07
2.203125,9.99E-07,1.08E-07
2.21875,9.99E-07,9.05E-08
2.234375,9.99E-07,1.04E-07
2.25,9.99E-07,1.05E-07
2.265625,9.99E-07,1.33E-07
2.28125,9.99E-07,6.85E-08
2.296875,9.99E-07,1.05E-07
2.3125,9.99E-07,1.46E-07
2.328125,9.99E-07,9.75E-08
2.34375,9.99E-07,6.68E-08
2.359375,9.99E-07,1.30E-07
2.375,9.99E-07,1.31E-07
2.390625,9.99E-07,7.50E-08
2.40625,9.99E-07,8.87E-08
2.421875,9.99E-07,1.25E-07
2.4375,9.99E-07,9.96E-08
2.453125,9.99E-07,8.45E-08
2.46875,9.99E-07,1.09E-07
2.484375,9.99E-07,8.94E-08
2.5,9.99E-07,1.22E-07
2.515625,9.99E-07,9.02E-08
2.53125,9.99E-07,8.91E-08
2.546875,9.99E-07,1.04E-07
2.5625,9.99E-07,9.85E-08
2.578125,9.99E-07,9.41E-08
2.59375,9.99E-07,7.79E-08
2.609375,9.99E-07,1.00E-07
2.625,9.99E-07,1.18E-07
2.640625,9.99E-07,7.67E-08
2.65625,9.99E-07,8.08E-08
2.671875,9.99E-07,1.07E-07
2.6875,9.99E-07,9.72E-08
2.703125,9.99E-07,6.55E-08
2.71875,9.99E-07,8.54E-08
2.734375,9.99E-07,1.23E-07
2.75,9.99E-07,7.77E-08
2.765625,9.99E-07,8.01E-08
2.78125,9.99E-07,1.05E-07
2.796875,9.99E-07,9.74E-08
2.8125,9.99E-07,8.24E-08
2.828125,9.99E-07,1.01E-07
2.84375,9.99E-07,8.64E-08
2.859375,9.99E-07,1.04E-07
2.875,9.99E-07,9.64E-08
2.890625,9.99E-07,8.77E-08
2.90625,9.99E-07,9.83E-08
2.921875,9.99E-07,1.11E-07
2.9375,9.99E-07,9.56E-08
2.953125,9.99E-07,9.18E-08
2.96875,9.99E-07,1.02E-07
2.984375,9.99E-07,1.34E-07
3,9.99E-07,8.58E-08
3.015625,9.99E-07,9.42E-08
3.03125,9.99E-07,1.48E-07
3.046875,9.99E-07,9.99E-08
3.0625,9.99E-07,8.64E-08
3.078125,9.99E-07,1.28E-07
3.09375,9.99E-07,1.18E-07
3.109375,9.99E-07,8.98E-08
3.125,9.99E-07,1.07E-07
3.140625,9.99E-07,1.13E-07
3.15625,9.99E-07,1.06E-07
3.171875,9.99E-07,9.83E-08
3.1875,9.99E-07,9.75E-08
3.203125,9.99E-07,1.05E-07
3.21875,9.99E-07,1.12E-07
3.234375,9.99E-07,8.60E-08
3.25,9.99E-07,1.02E-07
3.265625,9.99E-07,1.18E-07
3.28125,9.99E-07,1.11E-07
3.296875,9.99E-07,7.43E-08
3.3125,9.99E-07,1.35E-07
3.328125,9.99E-07,1.12E-07
3.34375,9.99E-07,8.23E-08
3.359375,9.99E-07,1.20E-07
3.375,9.99E-07,1.16E-07
3.390625,9.99E-07,1.03E-07
3.40625,9.99E-07,9.46E-08
3.421875,9.99E-07,1.08E-07
3.4375,9.99E-07,1.28E-07
3.453125,9.99E-07,7.73E-08
3.46875,9.99E-07,1.17E-07
3.484375,9.99E-07,1.12E-07
3.5,9.99E-07,9.22E-08
3.515625,9.99E-07,1.07E-07
3.53125,9.99E-07,9.87E-08
3.546875,9.99E-07,9.62E-08
3.5625,9.99E-07,1.12E-07
3.578125,9.99E-07,8.63E-08
3.59375,9.99E-07,9.76E-08
3.609375,9.99E-07,1.18E-07
3.625,9.99E-07,9.06E-08
3.640625,9.99E-07,8.92E-08
3.65625,9.99E-07,1.13E-07
3.671875,9.99E-07,1.10E-07
3.6875,9.99E-07,7.48E-08
3.703125,9.99E-07,1.13E-07
3.71875,9.99E-07,1.32E-07
3.734375,9.99E-07,6.84E-08
3.75,9.99E-07,1.12E-07
3.765625,9.99E-07,1.25E-07
3.78125,9.99E-07,8.02E-08
3.796875,9.99E-07,9.14E-08
3.8125,9.99E-07,1.09E-07
3.828125,9.99E-07,9.31E-08
3.84375,9.99E-07,8.43E-08
3.859375,9.99E-07,9.78E-08
3.875,9.99E-07,9.76E-08
3.890625,9.99E-07,9.68E-08
3.90625,9.99E-07,7.60E-08
3.921875,9.99E-07,1.06E-07
3.9375,9.99E-07,9.74E-08
3.953125,9.99E-07,7.82E-08
3.96875,9.99E-07,9.44E-08
3.984375,9.99E-07,1.02E-07
4,9.99E-07,9.46E-08
4.015625,9.99E-07,7.41E-08
4.03125,9.99E-07,1.22E-07
4.046875,9.99E-07,9.18E-08
4.0625,9.99E-07,7.72E-08
4.078125,9.99E-07,1.15E-07
4.09375,9.99E-07,9.46E-08
4.109375,9.99E-07,9.05E-08
4.125,9.99E-07,9.42E-08
4.140625,9.99E-07,1.13E-07
4.15625,9.99E-07,9.14E-08
4.171875,9.99E-07,1.00E-07
4.1875,9.99E-07,1.06E-07
4.203125,9.99E-07,1.03E-07
4.21875,9.99E-07,9.50E-08
4.234375,9.99E-07,9.90E-08
4.25,9.99E-07,1.11E-07
