Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
0,9.99E-07,3.18E-07,31.046875,3.52E-08,60,
0.015625,9.99E-07,2.44E-07,56.640625,3.58E-08,60,
0.03125,9.99E-07,8.65E-08,2.56E+01,3.30E-08,60,
0.046875,9.99E-07,3.26E-08,,3.09E-08,60,
0.0625,9.99E-07,8.11E-08,,3.03E-08,60,
0.078125,9.99E-07,2.05E-07,,3.00E-08,60,
0.09375,9.99E-07,3.33E-07,,2.89E-08,60,
0.109375,9.99E-07,2.81E-07,,2.87E-08,60,
0.125,9.99E-07,2.59E-07,,2.82E-08,60,
0.140625,9.99E-07,2.72E-07,,2.76E-08,60,
0.15625,9.99E-07,1.67E-07,,2.81E-08,60,
0.171875,9.99E-07,5.96E-08,,2.81E-08,60,
0.1875,9.99E-07,2.55E-09,,2.80E-08,60,
0.203125,9.99E-07,5.55E-08,,2.92E-08,60,
0.21875,9.99E-07,1.03E-07,,2.91E-08,60,
0.234375,9.99E-07,7.00E-08,,2.89E-08,60,
0.25,9.99E-07,2.19E-08,,2.74E-08,60,
0.265625,9.99E-07,5.07E-09,,2.83E-08,60,
0.28125,9.99E-07,9.44E-08,,2.99E-08,60,
0.296875,9.99E-07,2.32E-07,,3.07E-08,60,
0.3125,9.99E-07,3.40E-07,,3.24E-08,60,
0.328125,9.99E-07,3.75E-07,,3.25E-08,60,
0.34375,9.99E-07,2.57E-07,,3.40E-08,60,
0.359375,9.99E-07,1.23E-07,,3.58E-08,60,
0.375,9.99E-07,1.70E-08,,3.80E-08,60,
0.390625,9.99E-07,4.53E-09,,4.03E-08,60,
0.40625,9.99E-07,9.19E-09,,4.09E-08,60,
0.421875,9.99E-07,6.11E-08,,4.39E-08,60,
0.4375,9.99E-07,1.03E-07,,4.50E-08,60,
0.453125,9.99E-07,1.83E-07,,4.70E-08,60,
0.46875,9.99E-07,2.71E-07,,4.81E-08,60,
0.484375,9.99E-07,3.02E-07,,4.87E-08,60,
0.5,9.99E-07,1.69E-07,,5.02E-08,60,
0.515625,9.99E-07,7.34E-08,,5.23E-08,60,
0.53125,9.99E-07,6.56E-09,,5.48E-08,60,
0.546875,9.99E-07,3.63E-08,,5.71E-08,60,
0.5625,9.99E-07,3.48E-08,,5.96E-08,60,
0.578125,9.99E-07,1.76E-08,,6.21E-08,60,
0.59375,9.99E-07,3.71E-08,,6.40E-08,60,
0.609375,9.99E-07,1.46E-07,,6.53E-08,60,
0.625,9.99E-07,2.64E-07,,6.83E-08,60,
0.640625,9.99E-07,2.50E-07,,7.02E-08,60,
0.65625,9.99E-07,7.60E-08,,6.87E-08,60,
