Bits_Input,InputPower,Bits_Output,OutputPower
0,9.99E-05,0,0.000139709
0.015625,9.99E-05,0.015625,0.00012202
0.03125,9.99E-05,0.03125,0.000101508
0.046875,9.99E-05,0.046875,9.01E-05
0.0625,9.99E-05,0.0625,8.82E-05
0.078125,9.99E-05,0.078125,0.000100351
0.09375,9.99E-05,0.09375,0.000109124
0.109375,9.99E-05,0.109375,0.000111559
0.125,9.99E-05,0.125,0.000108473
0.140625,9.99E-05,0.140625,0.000102822
0.15625,9.99E-05,0.15625,8.83E-05
0.171875,9.99E-05,0.171875,7.84E-05
0.1875,9.99E-05,0.1875,9.56E-05
0.203125,9.99E-05,0.203125,0.000133029
0.21875,9.99E-05,0.21875,0.000183942
0.234375,9.99E-05,0.234375,0.000209361
0.25,9.99E-05,0.25,0.000203708
0.265625,9.99E-05,0.265625,0.000181108
0.28125,9.99E-05,0.28125,0.000171842
0.296875,9.99E-05,0.296875,0.000179451
0.3125,9.99E-05,0.3125,0.000159898
0.328125,9.99E-05,0.328125,0.000140293
0.34375,9.99E-05,0.34375,0.000141306
0.359375,9.99E-05,0.359375,0.000148158
0.375,9.99E-05,0.375,0.000143685
0.390625,9.99E-05,0.390625,0.000129701
0.40625,9.99E-05,0.40625,0.000140314
0.421875,9.99E-05,0.421875,0.000168867
0.4375,9.99E-05,0.4375,0.000180813
0.453125,9.99E-05,0.453125,0.00019382
0.46875,9.99E-05,0.46875,0.000222277
0.484375,9.99E-05,0.484375,0.000241535
0.5,9.99E-05,0.5,0.00023631
0.515625,9.99E-05,0.515625,0.000253763
0.53125,9.99E-05,0.53125,0.000268299
0.546875,9.99E-05,0.546875,0.000270324
0.5625,9.99E-05,0.5625,0.000273445
0.578125,9.99E-05,0.578125,0.0002848
0.59375,9.99E-05,0.59375,0.000332171
0.609375,9.99E-05,0.609375,0.000402709
0.625,9.99E-05,0.625,0.000459451
0.640625,9.99E-05,0.640625,0.000470331
0.65625,9.99E-05,0.65625,0.000436553
0.671875,9.99E-05,0.671875,0.000412295
0.6875,9.99E-05,0.6875,0.000392041
0.703125,9.99E-05,0.703125,0.000401082
0.71875,9.99E-05,0.71875,0.000465433
0.734375,9.99E-05,0.734375,0.000579515
0.75,9.99E-05,0.75,0.000691095
0.765625,9.99E-05,0.765625,0.000742955
0.78125,9.99E-05,0.78125,0.000764452
0.796875,9.99E-05,0.796875,0.000787182
0.8125,9.99E-05,0.8125,0.000764828
0.828125,9.99E-05,0.828125,0.000715566
0.84375,9.99E-05,0.84375,0.000668087
0.859375,9.99E-05,0.859375,0.000650104
0.875,9.99E-05,0.875,0.000665695
0.890625,9.99E-05,0.890625,0.000725665
0.90625,9.99E-05,0.90625,0.000757859
0.921875,9.99E-05,0.921875,0.00077358
0.9375,9.99E-05,0.9375,0.000826149
0.953125,9.99E-05,0.953125,0.000884225
0.96875,9.99E-05,0.96875,0.000905388
0.984375,9.99E-05,0.984375,0.000889484
1,9.99E-05,1,0.000850541
1.015625,9.99E-05,1.015625,0.000769763
1.03125,9.99E-05,1.03125,0.000717491
1.046875,9.99E-05,1.046875,0.000717731
1.0625,9.99E-05,1.0625,0.000716108
1.078125,9.99E-05,1.078125,0.000742638
1.09375,9.99E-05,1.09375,0.00079842
1.109375,9.99E-05,1.109375,0.000867945
1.125,9.99E-05,1.125,0.000926016
1.140625,9.99E-05,1.140625,0.00093826
1.15625,9.99E-05,1.15625,0.000910367
1.171875,9.99E-05,1.171875,0.000833546
1.1875,9.99E-05,1.1875,0.000743366
1.203125,9.99E-05,1.203125,0.000686801
1.21875,9.99E-05,1.21875,0.000658798
1.234375,9.99E-05,1.234375,0.000642464
1.25,9.99E-05,1.25,0.000633748
1.265625,9.99E-05,1.265625,0.000674898
1.28125,9.99E-05,1.28125,0.000754161
1.296875,9.99E-05,1.296875,0.000816658
1.3125,9.99E-05,1.3125,0.000890769
1.328125,9.99E-05,1.328125,0.00097812
1.34375,9.99E-05,1.34375,0.001029767
1.359375,9.99E-05,1.359375,0.000986234
1.375,9.99E-05,1.375,0.00087616
1.390625,9.99E-05,1.390625,0.000744722
1.40625,9.99E-05,1.40625,0.000609219
1.421875,9.99E-05,1.421875,0.000523087
1.4375,9.99E-05,1.4375,0.000491946
1.453125,9.99E-05,1.453125,0.000494204
1.46875,9.99E-05,1.46875,0.000504944
1.484375,9.99E-05,1.484375,0.000506515
1.5,9.99E-05,1.5,0.000473769
1.515625,9.99E-05,1.515625,0.000424346
1.53125,9.99E-05,1.53125,0.000373055
1.546875,9.99E-05,1.546875,0.000321323
1.5625,9.99E-05,1.5625,0.000305017
1.578125,9.99E-05,1.578125,0.000328534
1.59375,9.99E-05,1.59375,0.000383851
1.609375,9.99E-05,1.609375,0.000433606
1.625,9.99E-05,1.625,0.000424716
1.640625,9.99E-05,1.640625,0.000346878
1.65625,9.99E-05,1.65625,0.000265151
1.671875,9.99E-05,1.671875,0.000219599
1.6875,9.99E-05,1.6875,0.000181465
1.703125,9.99E-05,1.703125,0.000152626
1.71875,9.99E-05,1.71875,0.000141367
1.734375,9.99E-05,1.734375,0.000150233
1.75,9.99E-05,1.75,0.000170622
1.765625,9.99E-05,1.765625,0.000175123
1.78125,9.99E-05,1.78125,0.000154177
1.796875,9.99E-05,1.796875,0.000129669
1.8125,9.99E-05,1.8125,0.000115684
1.828125,9.99E-05,1.828125,0.00010025
1.84375,9.99E-05,1.84375,8.87E-05
1.859375,9.99E-05,1.859375,8.69E-05
1.875,9.99E-05,1.875,8.97E-05
1.890625,9.99E-05,1.890625,8.31E-05
1.90625,9.99E-05,1.90625,6.91E-05
1.921875,9.99E-05,1.921875,6.71E-05
1.9375,9.99E-05,1.9375,7.96E-05
1.953125,9.99E-05,1.953125,0.00011061
1.96875,9.99E-05,1.96875,0.000162211
1.984375,9.99E-05,1.984375,0.000218219
2,9.99E-05,2,0.000244902
2.015625,9.99E-05,2.015625,0.00023523
2.03125,9.99E-05,2.03125,0.000212958
2.046875,9.99E-05,2.046875,0.000177614
2.0625,9.99E-05,2.0625,0.000146748
2.078125,9.99E-05,2.078125,0.000133201
2.09375,9.99E-05,2.09375,0.000135558
2.109375,9.99E-05,2.109375,0.000144534
2.125,9.99E-05,2.125,0.000143713
2.140625,9.99E-05,2.140625,0.000136125
2.15625,9.99E-05,2.15625,0.000128248
2.171875,9.99E-05,2.171875,0.000109435
2.1875,9.99E-05,2.1875,8.65E-05
2.203125,9.99E-05,2.203125,7.09E-05
2.21875,9.99E-05,2.21875,6.81E-05
2.234375,9.99E-05,2.234375,7.72E-05
2.25,9.99E-05,2.25,8.49E-05
2.265625,9.99E-05,2.265625,8.15E-05
2.28125,9.99E-05,2.28125,7.20E-05
2.296875,9.99E-05,2.296875,7.30E-05
2.3125,9.99E-05,2.3125,8.68E-05
2.328125,9.99E-05,2.328125,0.000102144
2.34375,9.99E-05,2.34375,0.000107748
2.359375,9.99E-05,2.359375,9.87E-05
2.375,9.99E-05,2.375,8.13E-05
2.390625,9.99E-05,2.390625,6.90E-05
2.40625,9.99E-05,2.40625,7.96E-05
2.421875,9.99E-05,2.421875,0.000113569
2.4375,9.99E-05,2.4375,0.000159745
2.453125,9.99E-05,2.453125,0.000212691
2.46875,9.99E-05,2.46875,0.000268838
2.484375,9.99E-05,2.484375,0.000319573
2.5,9.99E-05,2.5,0.000333049
2.515625,9.99E-05,2.515625,0.000315111
2.53125,9.99E-05,2.53125,0.000272921
2.546875,9.99E-05,2.546875,0.000221573
2.5625,9.99E-05,2.5625,0.000195942
2.578125,9.99E-05,2.578125,0.000185627
2.59375,9.99E-05,2.59375,0.000166749
2.609375,9.99E-05,2.609375,0.000136856
2.625,9.99E-05,2.625,0.000109089
2.640625,9.99E-05,2.640625,7.11E-05
2.65625,9.99E-05,2.65625,3.90E-05
2.671875,9.99E-05,2.671875,2.86E-05
2.6875,9.99E-05,2.6875,2.82E-05
2.703125,9.99E-05,2.703125,3.47E-05
2.71875,9.99E-05,2.71875,5.81E-05
2.734375,9.99E-05,2.734375,0.000108397
2.75,9.99E-05,2.75,0.000194759
2.765625,9.99E-05,2.765625,0.000316867
2.78125,9.99E-05,2.78125,0.000446973
2.796875,9.99E-05,2.796875,0.00054628
2.8125,9.99E-05,2.8125,0.000605694
2.828125,9.99E-05,2.828125,0.000663295
2.84375,9.99E-05,2.84375,0.000745608
2.859375,9.99E-05,2.859375,0.000859817
2.875,9.99E-05,2.875,0.000986357
2.890625,9.99E-05,2.890625,0.001112029
2.90625,9.99E-05,2.90625,0.001202721
2.921875,9.99E-05,2.921875,0.001202311
2.9375,9.99E-05,2.9375,0.001170232
2.953125,9.99E-05,2.953125,0.001166198
2.96875,9.99E-05,2.96875,0.001198583
2.984375,9.99E-05,2.984375,0.001220242
3,9.99E-05,3,0.001163947
3.015625,9.99E-05,3.015625,0.001039959
3.03125,9.99E-05,3.03125,0.00094232
3.046875,9.99E-05,3.046875,0.000903057
3.0625,9.99E-05,3.0625,0.00084933
3.078125,9.99E-05,3.078125,0.000793915
3.09375,9.99E-05,3.09375,0.000786623
3.109375,9.99E-05,3.109375,0.000820867
3.125,9.99E-05,3.125,0.000844317
3.140625,9.99E-05,3.140625,0.000864978
3.15625,9.99E-05,3.15625,0.000917586
3.171875,9.99E-05,3.171875,0.000980785
3.1875,9.99E-05,3.1875,0.000990318
3.203125,9.99E-05,3.203125,0.000996883
3.21875,9.99E-05,3.21875,0.001054669
3.234375,9.99E-05,3.234375,0.001115866
3.25,9.99E-05,3.25,0.001214503
3.265625,9.99E-05,3.265625,0.001362909
3.28125,9.99E-05,3.28125,0.001513901
3.296875,9.99E-05,3.296875,0.00159826
3.3125,9.99E-05,3.3125,0.001667342
3.328125,9.99E-05,3.328125,0.001790371
3.34375,9.99E-05,3.34375,0.001876109
3.359375,9.99E-05,3.359375,0.001880332
3.375,9.99E-05,3.375,0.001832934
3.390625,9.99E-05,3.390625,0.001708977
3.40625,9.99E-05,3.40625,0.001602581
3.421875,9.99E-05,3.421875,0.001550763
3.4375,9.99E-05,3.4375,0.001547066
3.453125,9.99E-05,3.453125,0.001635865
3.46875,9.99E-05,3.46875,0.001739095
3.484375,9.99E-05,3.484375,0.00177894
3.5,9.99E-05,3.5,0.001723688
3.515625,9.99E-05,3.515625,0.001666917
3.53125,9.99E-05,3.53125,0.001580374
3.546875,9.99E-05,3.546875,0.001462219
3.5625,9.99E-05,3.5625,0.00138966
3.578125,9.99E-05,3.578125,0.001344369
3.59375,9.99E-05,3.59375,0.001349802
3.609375,9.99E-05,3.609375,0.001350838
3.625,9.99E-05,3.625,0.001277726
3.640625,9.99E-05,3.640625,0.001115888
3.65625,9.99E-05,3.65625,0.000952275
3.671875,9.99E-05,3.671875,0.000793469
3.6875,9.99E-05,3.6875,0.000652655
3.703125,9.99E-05,3.703125,0.000581886
3.71875,9.99E-05,3.71875,0.000550092
3.734375,9.99E-05,3.734375,0.000552996
3.75,9.99E-05,3.75,0.000583789
3.765625,9.99E-05,3.765625,0.000574448
3.78125,9.99E-05,3.78125,0.000577741
