Bits_Input,InputPower,Bits_Output,OutputPower
0,9.99E-04,0,0.000929786
0.015625,9.99E-04,0.015625,0.001000863
0.03125,9.99E-04,0.03125,0.00245625
0.046875,9.99E-04,0.046875,5.39E-03
0.0625,9.99E-04,0.0625,7.96E-03
0.078125,9.99E-04,0.078125,0.008727111
0.09375,9.99E-04,0.09375,0.007428905
0.109375,9.99E-04,0.109375,0.004445323
0.125,9.99E-04,0.125,0.00130463
0.140625,9.99E-04,0.140625,0.000233376
0.15625,9.99E-04,0.15625,2.37E-03
0.171875,9.99E-04,0.171875,6.70E-03
0.1875,9.99E-04,0.1875,1.03E-02
0.203125,9.99E-04,0.203125,0.011003017
0.21875,9.99E-04,0.21875,0.009166898
0.234375,9.99E-04,0.234375,0.005810669
0.25,9.99E-04,0.25,0.002609952
0.265625,9.99E-04,0.265625,0.002031156
0.28125,9.99E-04,0.28125,0.004317982
0.296875,9.99E-04,0.296875,0.007448454
0.3125,9.99E-04,0.3125,0.009471257
0.328125,9.99E-04,0.328125,0.009687863
0.34375,9.99E-04,0.34375,0.008030745
0.359375,9.99E-04,0.359375,0.005477468
0.375,9.99E-04,0.375,0.002753336
0.390625,9.99E-04,0.390625,0.000810368
0.40625,9.99E-04,0.40625,0.000161974
0.421875,9.99E-04,0.421875,0.000334177
0.4375,9.99E-04,0.4375,0.000443563
0.453125,9.99E-04,0.453125,6.92E-05
0.46875,9.99E-04,0.46875,0.000419091
0.484375,9.99E-04,0.484375,0.003152458
0.5,9.99E-04,0.5,0.007919572
0.515625,9.99E-04,0.515625,0.012451934
0.53125,9.99E-04,0.53125,0.014122915
0.546875,9.99E-04,0.546875,0.01226775
0.5625,9.99E-04,0.5625,0.007862305
0.578125,9.99E-04,0.578125,0.004511236
0.59375,9.99E-04,0.59375,0.00446257
0.609375,9.99E-04,0.609375,0.007386556
0.625,9.99E-04,0.625,0.011542411
0.640625,9.99E-04,0.640625,0.014503883
0.65625,9.99E-04,0.65625,0.014465805
0.671875,9.99E-04,0.671875,0.01171863
0.6875,9.99E-04,0.6875,0.007759293
0.703125,9.99E-04,0.703125,0.00409533
0.71875,9.99E-04,0.71875,0.002131984
0.734375,9.99E-04,0.734375,0.001593286
0.75,9.99E-04,0.75,0.001351969
0.765625,9.99E-04,0.765625,0.001261547
0.78125,9.99E-04,0.78125,0.002396543
0.796875,9.99E-04,0.796875,0.005416559
0.8125,9.99E-04,0.8125,0.008958769
0.828125,9.99E-04,0.828125,0.010653349
0.84375,9.99E-04,0.84375,0.008906259
0.859375,9.99E-04,0.859375,0.004621856
0.875,9.99E-04,0.875,0.000929999
0.890625,9.99E-04,0.890625,0.000227548
0.90625,9.99E-04,0.90625,0.003346128
0.921875,9.99E-04,0.921875,0.00853852
0.9375,9.99E-04,0.9375,0.012671656
0.953125,9.99E-04,0.953125,0.013198383
0.96875,9.99E-04,0.96875,0.009572426
0.984375,9.99E-04,0.984375,0.00452075
1,9.99E-04,1,0.001418887
1.015625,9.99E-04,1.015625,0.000961087
1.03125,9.99E-04,1.03125,0.00222447
1.046875,9.99E-04,1.046875,0.003716211
1.0625,9.99E-04,1.0625,0.004031435
1.078125,9.99E-04,1.078125,0.002793685
1.09375,9.99E-04,1.09375,0.001047854
1.109375,9.99E-04,1.109375,7.72E-05
1.125,9.99E-04,1.125,0.000327942
1.140625,9.99E-04,1.140625,0.001394456
1.15625,9.99E-04,1.15625,0.002543236
1.171875,9.99E-04,1.171875,0.003480906
1.1875,9.99E-04,1.1875,0.004117094
1.203125,9.99E-04,1.203125,0.004395456
1.21875,9.99E-04,1.21875,0.00500159
1.234375,9.99E-04,1.234375,0.005871539
1.25,9.99E-04,1.25,0.005945174
1.265625,9.99E-04,1.265625,0.005083482
1.28125,9.99E-04,1.28125,0.003672067
1.296875,9.99E-04,1.296875,0.002290816
1.3125,9.99E-04,1.3125,0.001689693
1.328125,9.99E-04,1.328125,0.001706604
1.34375,9.99E-04,1.34375,0.001447074
1.359375,9.99E-04,1.359375,0.000916992
1.375,9.99E-04,1.375,0.000470945
1.390625,9.99E-04,1.390625,0.000312533
1.40625,9.99E-04,1.40625,0.000820127
1.421875,9.99E-04,1.421875,0.001846297
1.4375,9.99E-04,1.4375,0.002599115
1.453125,9.99E-04,1.453125,0.002717154
1.46875,9.99E-04,1.46875,0.002060762
1.484375,9.99E-04,1.484375,0.000992587
1.5,9.99E-04,1.5,0.000544759
1.515625,9.99E-04,1.515625,0.001303252
1.53125,9.99E-04,1.53125,0.002424568
1.546875,9.99E-04,1.546875,0.002732245
1.5625,9.99E-04,1.5625,0.001807539
1.578125,9.99E-04,1.578125,0.000610884
1.59375,9.99E-04,1.59375,0.000196197
1.609375,9.99E-04,1.609375,0.001023705
1.625,9.99E-04,1.625,0.002880497
1.640625,9.99E-04,1.640625,0.004592134
1.65625,9.99E-04,1.65625,0.005153302
1.671875,9.99E-04,1.671875,0.004528561
1.6875,9.99E-04,1.6875,0.003350853
1.703125,9.99E-04,1.703125,0.002073405
1.71875,9.99E-04,1.71875,0.001308244
1.734375,9.99E-04,1.734375,0.001207536
